file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0085_0040_316341_to_324140,ངས་རང་ལ་ཤ་ཆད་རུས་ཆད་བཟོ་གི་ཡིན་ཟེར་ཡ་ད་མ་བརྗེད་པ་བྱས་ཨ། ཁོ་ཁྲིད་རྒྱུགས།  ,ngas rang la sha chad rus chad bzo gi yin zer ya da ma brjed pa byas a/_kho khrid rgyugs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0040_316341_to_324140.wav,STT_MV,2,73,7.799,wav16k/STT_MV0085_0040_316341_to_324140.wav,ངས་རང་ལ་ཤ་བཅས་རུས་ཆེས་བཟོ་གི་ཡིན་ཟེར་ཡ་དེ་མ་བརྗེད་པ་གྱིས་ཨ། ཁོ་ཁྲིད་རྒྱུགས།
STT_MV0085_0045_352609_to_358790,རང་སུ་ཡིན་པ།  ,rang su yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0045_352609_to_358790.wav,STT_MV,2,14,6.181,wav16k/STT_MV0085_0045_352609_to_358790.wav,རང་སུ་ཡིན་པ།
STT_HS0011_0159_1090878_to_1094513,ད་གློ་བརྒྱབ་ནས་སྒོ་བརྒྱབ་ནས་ད་ད་ལོ་ཉི་ཤུ་རྩ་གྲངས་སོང་ཡོད་ཀྱི་རེད།  ,da glo brgyab nas sgo brgyab nas da da lo nyi shu rtsa grangs song yod kyi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_HS0011_0159_1090878_to_1094513.wav,STT_HS,2,67,3.635,wav16k/STT_HS0011_0159_1090878_to_1094513.wav,ཨ་ལོ་བརྒྱབ་ནས་སྒོ་བརྒྱབ་ནས་ད་ ད་ལོ་ཉི་ཤུ་རྩ་གྲངས་སོང་བ་ྒྱི།
STT_AB00474_0089_241186_to_242875,དུས་ནམ་ཞིག་གི་ཚེ།  ,dus nam zhig gi tshe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00474_0089_241186_to_242875.wav,STT_AB,2,19,1.689,wav16k/STT_AB00474_0089_241186_to_242875.wav,དུས་ནམ་ཞིག་གི་ཚེ་
STT_MV0085_0056_432596_to_437462,རང་གིས་ངའི་སྲོག་སྐྱོབ་ཡ་ཆེད་དུ་རེད་བ། ངས་རང་ལ་ཆད་པ་གཅད་ཀི་རེད་པེ།  ,rang gis nga'i srog skyob ya ched du red ba/_ngas rang la chad pa gcad ki red pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0056_432596_to_437462.wav,STT_MV,2,67,4.866,wav16k/STT_MV0085_0056_432596_to_437462.wav,རང་གིས་ངའི་སྲོག་བསྐྱབ་ཡ་ཆེད་དུ་རེད་པ། ངས་རང་ལ་ཆད་པ་གཅད་ཀི་རེད་པེ།
STT_MV0085_0057_437462_to_445745,ཡིན་ནས་བྱེད་སྟངས་དེ་གཞུང་སའི་ཁྲིམས་ནས་འགལ་ཡོད་རེད་ལ་ངའི་བྱེད་སྟངས་བྱེད་ལུགས་དང་མཐུན་ཡོད་མ་རེད། རྗེས་ལ་ཧ་རེ་ཧུར་རེ་དེ་འདྲས་མ་བྱེད་ཅིག ,yin nas byed stangs de gzhung sa'i khrims nas 'gal yod red la nga'i byed stangs byed lugs dang mthun yod ma red/_rjes la ha re hur re de 'dras ma byed cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0057_437462_to_445745.wav,STT_MV,2,133,8.283,wav16k/STT_MV0085_0057_437462_to_445745.wav,ཡིན་ནས་བྱེད་སྟངས་དེ་གཞུང་སའི་ཁྲིམས་ནས་འགལ་ཡོད་རེད་ལ། ངའི་བྱེད་སྟངས་བྱེད་ལུགས་དང་མཐུན་ཡོད་མ་རེད། རྗེས་ལ་ཧ་ཧུས་ར་དེ་འདྲས་མ་བྱེད་ཅིག
STT_MV0085_0058_445745_to_449567,གུས་པས་ཤེས་ཀིས།  ,gus pas shes kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0058_445745_to_449567.wav,STT_MV,2,17,3.822,wav16k/STT_MV0085_0058_445745_to_449567.wav,གུས་པས་ཤེས་ཀིས
STT_MV0085_0059_449567_to_457264,སྐུ་སྲུང་སྒྲན་ཀྲའོ་གིས་ངར་གཅེས་སྐྱོང་བྱས་པ་ངས་ཚོར་སྣང་མ་ཐུབ་པ་ཡོད་རེད་པེ། ངས་སེམས་ལ་བཞག་ཡོད།  ,sku srung sgran kra'o gis ngar gces skyong byas pa ngas tshor snang ma thub pa yod red pe/_ngas sems la bzhag yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0059_449567_to_457264.wav,STT_MV,2,94,7.697,wav16k/STT_MV0085_0059_449567_to_457264.wav,སྐུ་སྲུང་སྒྲན་ཀྲའོ་གིས་ང་གཅེས་སྐྱོང་བྱས་པ་ངས་ཚོར་སྣང་མ་ཐུབ་པ་ཡོད་རེད་པེ། ངས་སེམས་ལ་བཞག་ཡོད།
STT_MV0085_0060_457264_to_466065,སྐུ་ངོ་གི་བདེ་འཇགས་ཀི་དོན་དུ་མེ་འོབས་ལ་མཆོང་དགོས་བྱུང་ནས་ཐེ་ཚོམ་ཁྱོན་ནས་མེད། སྐུ་ངོ་ཁྱེད་རང་ཐུགས་འཛེམ་གནང་དགོས་མ་རེད།  ,sku ngo gi bde 'jags ki don du me 'obs la mchong dgos byung nas the tshom khyon nas med/_sku ngo khyed rang thugs 'dzem gnang dgos ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0085_0060_457264_to_466065.wav,STT_MV,2,119,8.801,wav16k/STT_MV0085_0060_457264_to_466065.wav,སྐུ་ངོ་གི་བདེ་འཇགས་ཀི་དོན་དུ་མི་འོག་ལ་མཆོང་དགོས་བྱུང་ནས་ཐེ་ཚོམ་ཁྱོན་ནས་མེད། སྐུ་ངོ་ཁྱེད་རང་ཐུགས་འཛིམ་གནང་དགོས་མ་རེད།
STT_HS0011_0162_1110725_to_1114291,རྨོ་མོ་རང་དེ་དུས་ད་གདན་འཐག་ཡ་ད་ལས་ཀ་བྱེད་ཀི་ཡོད་རེད་བ། རེད་རེད། ཡེསྀ། ཡེསྀ།  ,rmo mo rang de dus da gdan 'thag ya da las ka byed ki yod red ba/_red red/_yes-i/_yes-i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_HS0011_0162_1110725_to_1114291.wav,STT_HS,2,77,3.566,wav16k/STT_HS0011_0162_1110725_to_1114291.wav,རྨོ་མོ་རང་སདོ་དུས་ད་དེ་ཐག་ཡ་ལས་ཀ་བྱེད་ཀི་ཡོད་རེད་བ། རེད་རེད། ཡ་སོསོ།
